rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
752,Q1,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Q2,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Q2,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Q2,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Q2,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Q3,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Q3,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Q3,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Q3,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Q4,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Q4,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Q4,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Q4,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Q5,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Q5,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Q5,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Q5,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Q6,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Q6,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Q6,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Q6,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Q7,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Q7,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Q7,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Q7,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Q8,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Q8,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Q8,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Q8,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Q9,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Q9,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Q9,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Q9,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Z8,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Z8,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Z8,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Z8,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,G0,Yes,Fresh,0.7,1.4,3.5,5.6,7,10,12,13,14,15,17,20,24,28,32,37,42,48,54,59,65,72,78,83,88,93,98,100,100
790,G0,Yes,Salt,0.84,1.68,4.2,6.72,8.4,12,14.4,15.6,16.8,18,20.4,24,28.8,33.6,38.4,44.4,50.4,57.6,64.8,70.8,78,86.4,93.6,99.6,100,100,100,100,100
791,G0,No,Fresh,0,0,0,0,0,3,5,6,7,8,10,13,17,21,25,30,35,41,47,52,58,65,71,76,81,86,91,96,100
792,G0,No,Salt,0,0,0,0,0,3.6,6,7.2,8.4,9.6,12,15.6,20.4,25.2,30,36,42,49.2,56.4,62.4,69.6,78,85.2,91.2,97.2,100,100,100,100
793,G1,Yes,Fresh,0.7,1.4,3.5,5.6,7,10,12,13,14,15,17,20,24,28,32,37,42,48,54,59,65,72,78,83,88,93,98,100,100
794,G1,Yes,Salt,0.84,1.68,4.2,6.72,8.4,12,14.4,15.6,16.8,18,20.4,24,28.8,33.6,38.4,44.4,50.4,57.6,64.8,70.8,78,86.4,93.6,99.6,100,100,100,100,100
795,G1,No,Fresh,0,0,0,0,0,3,5,6,7,8,10,13,17,21,25,30,35,41,47,52,58,65,71,76,81,86,91,96,100
796,G1,No,Salt,0,0,0,0,0,3.6,6,7.2,8.4,9.6,12,15.6,20.4,25.2,30,36,42,49.2,56.4,62.4,69.6,78,85.2,91.2,97.2,100,100,100,100
797,G2,Yes,Fresh,0.7,1.4,3.5,5.6,7,10,12,13,14,15,17,20,24,28,32,37,42,48,54,59,65,72,78,83,88,93,98,100,100
798,G2,Yes,Salt,0.84,1.68,4.2,6.72,8.4,12,14.4,15.6,16.8,18,20.4,24,28.8,33.6,38.4,44.4,50.4,57.6,64.8,70.8,78,86.4,93.6,99.6,100,100,100,100,100
799,G2,No,Fresh,0,0,0,0,0,3,5,6,7,8,10,13,17,21,25,30,35,41,47,52,58,65,71,76,81,86,91,96,100
800,G2,No,Salt,0,0,0,0,0,3.6,6,7.2,8.4,9.6,12,15.6,20.4,25.2,30,36,42,49.2,56.4,62.4,69.6,78,85.2,91.2,97.2,100,100,100,100
